anggota_kk,pendapatan,kondisi_rumah,sumber_air_minum,akses_listrik,kepemilikan_aset,pekerjaan,status_kepemilikan_rumah,penghasilan_dibawah_ump,aset_produktif,akses_pendidikan,akses_kesehatan,akses_sanitasi,akses_listrik_ump,rumah_tidak_layak_huni,skor_kemiskinan,kategori_asesmen,rekomendasi_bantuan
2,8064015,Tidak Permanen,Sungai,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,0,0,1,0,0,0,1,65,Miskin,PKH
2,7723522,Tidak Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,1,0,0,1,60,Miskin,PKH
1,1233115,Tidak Permanen,Sungai,PLN,Ada,Petani,Milik Sendiri,1,1,0,1,0,0,1,70,Sangat Miskin,Bantuan Sembako
3,6501742,Semi Permanen,PAM,PLN,Tidak Ada,Petani,Kontrak,0,1,1,0,0,0,0,35,Rentan Miskin,BLT
1,5682679,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Sewa,0,1,0,1,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
7,2527351,Semi Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Sewa,1,0,1,0,1,0,0,60,Miskin,PKH
2,8030926,Permanen,Sungai,Tidak Ada,Ada,Petani,Sewa,0,0,0,0,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
2,5228192,Tidak Permanen,Sungai,Tidak Ada,Tidak Ada,Pegawai Swasta,Sewa,0,0,1,0,0,1,1,55,Miskin,PKH
1,4447079,Semi Permanen,Sungai,Listrik Non-PLN,Ada,Pegawai Swasta,Kontrak,1,0,0,0,0,0,0,65,Miskin,PKH
8,2318338,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Pedagang Kecil,Kontrak,1,1,0,0,0,0,0,60,Miskin,PKH
1,4921614,Tidak Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Sewa,0,1,1,1,0,1,1,45,Rentan Miskin,BLT
7,5266346,Tidak Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,1,1,1,45,Rentan Miskin,BLT
7,3188619,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Kontrak,1,0,1,0,0,1,1,80,Sangat Miskin,Bantuan Sembako
4,3710416,Tidak Permanen,PAM,Listrik Non-PLN,Ada,Petani,Milik Sendiri,1,0,1,0,1,0,1,70,Sangat Miskin,Bantuan Sembako
3,7800770,Semi Permanen,Sungai,Tidak Ada,Ada,Petani,Kontrak,0,0,1,0,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
4,9830421,Tidak Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,0,1,0,1,0,0,1,50,Miskin,PKH
3,6608872,Semi Permanen,PAM,PLN,Ada,Pegawai Swasta,Milik Sendiri,0,1,1,0,0,0,0,30,Rentan Miskin,BLT
7,7631012,Tidak Permanen,PAM,Listrik Non-PLN,Ada,Petani,Sewa,0,1,1,1,1,0,1,50,Miskin,PKH
6,2492416,Permanen,Sumur,PLN,Ada,Pedagang Kecil,Sewa,1,0,1,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
8,5751142,Semi Permanen,Sungai,PLN,Tidak Ada,Petani,Sewa,0,1,1,1,0,0,0,40,Rentan Miskin,BLT
4,4467253,Permanen,Sungai,PLN,Ada,Petani,Milik Sendiri,1,1,0,1,1,0,0,40,Rentan Miskin,BLT
3,3886729,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Milik Sendiri,1,0,1,0,0,1,0,50,Miskin,PKH
4,5494461,Tidak Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Kontrak,0,1,0,1,1,0,1,45,Rentan Miskin,BLT
8,7402348,Tidak Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Sewa,0,0,1,0,0,0,1,70,Sangat Miskin,Bantuan Sembako
2,992139,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Sewa,1,0,1,0,0,1,1,75,Sangat Miskin,Bantuan Sembako
2,9731166,Semi Permanen,Sungai,Tidak Ada,Ada,Buruh Harian Lepas,Kontrak,0,1,1,1,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
3,8428853,Permanen,Sumur,PLN,Ada,Pegawai Swasta,Sewa,0,0,1,1,0,0,0,45,Rentan Miskin,BLT
3,521473,Semi Permanen,Sungai,Tidak Ada,Ada,Buruh Harian Lepas,Milik Sendiri,1,0,0,0,1,1,0,40,Rentan Miskin,BLT
3,2141924,Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Sewa,1,0,0,0,1,0,0,55,Miskin,PKH
6,3437895,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Petani,Sewa,1,0,1,1,0,0,0,70,Sangat Miskin,Bantuan Sembako
3,5028494,Tidak Permanen,PAM,Listrik Non-PLN,Ada,Pedagang Kecil,Milik Sendiri,0,0,0,1,1,0,1,50,Miskin,PKH
3,3597577,Semi Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Sewa,1,1,1,1,0,0,0,55,Miskin,PKH
4,2227413,Semi Permanen,Sumur,PLN,Ada,Buruh Harian Lepas,Milik Sendiri,1,1,1,1,0,0,0,50,Miskin,PKH
7,2641437,Permanen,PAM,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,0,1,1,1,1,0,45,Rentan Miskin,BLT
3,8599266,Permanen,PAM,PLN,Ada,Petani,Sewa,0,0,1,0,0,0,0,45,Rentan Miskin,BLT
7,6497605,Permanen,Sumur,PLN,Tidak Ada,Petani,Milik Sendiri,0,0,0,0,1,0,0,35,Rentan Miskin,BLT
7,5467575,Tidak Permanen,Sumur,Listrik Non-PLN,Ada,Petani,Kontrak,0,1,1,0,1,0,1,50,Miskin,PKH
1,900932,Tidak Permanen,Sumur,Tidak Ada,Ada,Buruh Harian Lepas,Milik Sendiri,1,1,1,0,1,1,1,50,Miskin,PKH
6,4119548,Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Kontrak,1,0,0,1,1,0,0,60,Miskin,PKH
7,7568711,Semi Permanen,Sungai,Tidak Ada,Ada,Buruh Harian Lepas,Kontrak,0,1,0,0,1,1,0,20,Tidak Miskin,Tidak Layak Menerima
3,3780217,Tidak Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,1,1,0,0,1,0,1,65,Miskin,PKH
6,8947118,Permanen,PAM,PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,0,0,0,0,45,Rentan Miskin,BLT
8,5521097,Tidak Permanen,Sumur,PLN,Ada,Petani,Sewa,0,0,1,0,1,0,1,60,Miskin,PKH
6,6381221,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Kontrak,0,0,1,0,0,1,1,60,Miskin,PKH
1,6889841,Permanen,Sungai,PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,0,1,0,0,1,0,0,20,Tidak Miskin,Tidak Layak Menerima
2,9482833,Tidak Permanen,Sumur,Listrik Non-PLN,Ada,Petani,Sewa,0,1,0,0,1,0,1,45,Rentan Miskin,BLT
3,5179616,Permanen,PAM,Tidak Ada,Tidak Ada,Pegawai Swasta,Sewa,0,0,0,0,0,1,0,35,Rentan Miskin,BLT
2,6350956,Permanen,Sungai,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,0,1,1,0,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
8,2141825,Permanen,Sumur,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,0,0,1,0,1,0,55,Miskin,PKH
7,8961377,Permanen,PAM,PLN,Ada,Pegawai Swasta,Kontrak,0,0,1,1,1,0,0,40,Rentan Miskin,BLT
7,2203673,Permanen,Sumur,Tidak Ada,Ada,Petani,Kontrak,1,1,0,0,0,1,0,50,Miskin,PKH
1,1122878,Semi Permanen,PAM,Tidak Ada,Ada,Buruh Harian Lepas,Sewa,1,1,0,0,1,1,0,35,Rentan Miskin,BLT
6,3673492,Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,0,0,1,0,0,55,Miskin,PKH
2,966188,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,0,0,0,0,1,0,50,Miskin,PKH
8,8087419,Semi Permanen,PAM,PLN,Tidak Ada,Petani,Kontrak,0,1,1,0,0,0,0,40,Rentan Miskin,BLT
5,3499175,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Sewa,1,0,1,1,0,1,1,80,Sangat Miskin,Bantuan Sembako
6,8346905,Permanen,Sungai,PLN,Tidak Ada,Petani,Sewa,0,1,1,0,0,0,0,40,Rentan Miskin,BLT
7,6937439,Semi Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Kontrak,0,0,1,0,1,0,0,40,Rentan Miskin,BLT
3,2656467,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Sewa,1,1,1,0,1,1,0,35,Rentan Miskin,BLT
6,6592490,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,0,1,1,55,Miskin,PKH
7,5425187,Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Kontrak,0,0,0,0,0,0,0,50,Miskin,PKH
6,4331130,Tidak Permanen,PAM,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,1,0,0,0,0,1,75,Sangat Miskin,Bantuan Sembako
4,3599304,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Sewa,1,0,0,0,1,1,0,45,Rentan Miskin,BLT
3,8448231,Semi Permanen,PAM,Tidak Ada,Ada,Pedagang Kecil,Sewa,0,1,1,0,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
1,7407123,Semi Permanen,PAM,PLN,Tidak Ada,Petani,Sewa,0,0,1,1,1,0,0,35,Rentan Miskin,BLT
5,6866214,Tidak Permanen,Sumur,Listrik Non-PLN,Ada,Petani,Sewa,0,0,0,1,1,0,1,60,Miskin,PKH
3,4196966,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,0,0,0,0,0,0,65,Miskin,PKH
5,2590094,Permanen,Sumur,Tidak Ada,Ada,Petani,Kontrak,1,0,1,1,0,1,0,60,Miskin,PKH
4,7438826,Tidak Permanen,Sumur,PLN,Tidak Ada,Petani,Milik Sendiri,0,1,1,1,1,0,1,40,Rentan Miskin,BLT
8,3202385,Tidak Permanen,PAM,PLN,Ada,Pegawai Swasta,Milik Sendiri,1,1,1,0,0,0,1,75,Sangat Miskin,Bantuan Sembako
5,7128224,Permanen,Sumur,Listrik Non-PLN,Ada,Pegawai Swasta,Milik Sendiri,0,1,0,1,0,0,0,35,Rentan Miskin,BLT
5,2686686,Semi Permanen,Sumur,PLN,Ada,Pedagang Kecil,Milik Sendiri,1,0,0,0,1,0,0,55,Miskin,PKH
6,5675953,Semi Permanen,PAM,Tidak Ada,Tidak Ada,Petani,Kontrak,0,0,1,0,1,1,0,30,Rentan Miskin,BLT
7,8718731,Tidak Permanen,PAM,Tidak Ada,Ada,Pegawai Swasta,Milik Sendiri,0,1,0,0,1,1,1,35,Rentan Miskin,BLT
1,5623179,Semi Permanen,PAM,Tidak Ada,Ada,Pegawai Swasta,Sewa,0,1,0,1,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
1,8513617,Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,0,1,0,0,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
7,709775,Permanen,Sumur,PLN,Ada,Pegawai Swasta,Milik Sendiri,1,1,0,0,1,0,0,45,Rentan Miskin,BLT
3,2989181,Tidak Permanen,Sungai,Listrik Non-PLN,Ada,Pegawai Swasta,Kontrak,1,1,0,1,1,0,1,65,Miskin,PKH
8,3790399,Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Kontrak,1,1,0,1,0,1,0,50,Miskin,PKH
8,6448058,Semi Permanen,Sumur,Tidak Ada,Ada,Pedagang Kecil,Sewa,0,0,1,0,0,1,0,40,Rentan Miskin,BLT
8,5194735,Tidak Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Sewa,0,0,0,0,0,1,1,60,Miskin,PKH
7,8863869,Semi Permanen,Sungai,Tidak Ada,Tidak Ada,Petani,Sewa,0,0,0,1,1,1,0,30,Rentan Miskin,BLT
7,9234543,Semi Permanen,Sungai,PLN,Ada,Petani,Milik Sendiri,0,0,1,1,1,0,0,35,Rentan Miskin,BLT
4,3677032,Semi Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,1,1,0,1,1,0,0,45,Rentan Miskin,BLT
8,8435679,Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,1,1,0,1,0,0,30,Rentan Miskin,BLT
6,2578602,Tidak Permanen,Sumur,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,0,1,1,1,1,1,65,Miskin,PKH
4,9406989,Tidak Permanen,Sungai,Listrik Non-PLN,Ada,Petani,Kontrak,0,0,0,0,1,0,1,55,Miskin,PKH
2,9703426,Semi Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Sewa,0,1,1,1,0,1,0,25,Tidak Miskin,Tidak Layak Menerima
6,6347149,Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Kontrak,0,0,0,1,0,0,0,50,Miskin,PKH
6,3405117,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,0,0,0,1,0,0,60,Miskin,PKH
1,839614,Tidak Permanen,Sumur,PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,1,0,0,1,0,1,65,Miskin,PKH
8,1668710,Semi Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,1,0,0,45,Rentan Miskin,BLT
1,9695860,Tidak Permanen,Sumur,PLN,Ada,Petani,Sewa,0,1,1,0,1,0,1,45,Rentan Miskin,BLT
1,2333982,Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,0,0,1,0,0,50,Miskin,PKH
7,1728225,Tidak Permanen,Sumur,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,0,1,1,65,Miskin,PKH
3,6247989,Semi Permanen,PAM,PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,0,0,1,1,1,0,0,35,Rentan Miskin,BLT
7,4598446,Tidak Permanen,Sumur,Listrik Non-PLN,Ada,Petani,Kontrak,0,1,0,0,1,0,1,50,Miskin,PKH
5,4702694,Semi Permanen,Sumur,PLN,Ada,Pedagang Kecil,Sewa,0,1,0,0,0,0,0,40,Rentan Miskin,BLT
7,3903024,Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,0,1,0,1,0,0,60,Miskin,PKH
4,7702957,Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Petani,Sewa,0,1,0,1,0,0,0,35,Rentan Miskin,BLT
1,2656748,Permanen,Sumur,PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,0,1,1,0,0,0,60,Miskin,PKH
8,4893953,Tidak Permanen,PAM,PLN,Ada,Pedagang Kecil,Kontrak,0,0,0,1,1,0,1,60,Miskin,PKH
5,4095168,Permanen,PAM,Listrik Non-PLN,Ada,Pedagang Kecil,Kontrak,1,1,0,0,1,0,0,50,Miskin,PKH
7,5002788,Tidak Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Sewa,0,0,1,0,0,0,1,70,Sangat Miskin,Bantuan Sembako
7,2264248,Semi Permanen,Sumur,Tidak Ada,Ada,Petani,Kontrak,1,0,0,1,0,1,0,60,Miskin,PKH
6,9155042,Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Kontrak,0,0,1,0,0,0,0,50,Miskin,PKH
2,3286019,Tidak Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,0,0,1,1,1,60,Miskin,PKH
1,8188630,Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Milik Sendiri,0,1,0,1,0,1,0,20,Tidak Miskin,Tidak Layak Menerima
3,5634525,Permanen,PAM,Listrik Non-PLN,Ada,Pegawai Swasta,Milik Sendiri,0,1,1,0,0,0,0,30,Rentan Miskin,BLT
6,8989507,Tidak Permanen,Sungai,PLN,Ada,Pedagang Kecil,Milik Sendiri,0,1,1,0,0,0,1,55,Miskin,PKH
4,1091758,Tidak Permanen,Sumur,PLN,Ada,Petani,Kontrak,1,0,1,1,1,0,1,75,Sangat Miskin,Bantuan Sembako
7,5936549,Tidak Permanen,Sungai,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,1,0,1,1,55,Miskin,PKH
8,1623347,Tidak Permanen,PAM,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,0,1,0,0,1,85,Sangat Miskin,Bantuan Sembako
6,3384284,Tidak Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,1,0,0,0,0,1,75,Sangat Miskin,Bantuan Sembako
2,9162469,Tidak Permanen,Sumur,Listrik Non-PLN,Ada,Buruh Harian Lepas,Kontrak,0,1,1,0,1,0,1,45,Rentan Miskin,BLT
3,8852777,Tidak Permanen,Sungai,Tidak Ada,Ada,Buruh Harian Lepas,Sewa,0,0,1,0,0,1,1,55,Miskin,PKH
3,8345012,Tidak Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,1,0,1,50,Miskin,PKH
5,8057707,Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Milik Sendiri,0,0,1,0,1,1,0,25,Tidak Miskin,Tidak Layak Menerima
3,9663777,Semi Permanen,PAM,PLN,Tidak Ada,Petani,Sewa,0,1,0,1,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
7,3415315,Permanen,PAM,Tidak Ada,Ada,Pegawai Swasta,Milik Sendiri,1,1,0,1,0,1,0,45,Rentan Miskin,BLT
2,2450173,Permanen,Sumur,PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,0,0,1,0,0,0,60,Miskin,PKH
4,7919558,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Sewa,0,1,0,1,1,1,0,15,Tidak Miskin,Tidak Layak Menerima
6,2265482,Semi Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,0,1,1,1,0,0,55,Miskin,PKH
5,2245444,Permanen,PAM,PLN,Ada,Pedagang Kecil,Milik Sendiri,1,1,0,0,1,0,0,45,Rentan Miskin,BLT
7,6861795,Tidak Permanen,Sungai,PLN,Ada,Buruh Harian Lepas,Sewa,0,0,1,0,0,0,1,70,Sangat Miskin,Bantuan Sembako
3,3073379,Semi Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Milik Sendiri,1,0,0,0,1,1,0,40,Rentan Miskin,BLT
6,7638875,Permanen,Sumur,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Sewa,0,1,1,0,1,1,0,20,Tidak Miskin,Tidak Layak Menerima
3,6867191,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,0,1,1,0,1,0,30,Rentan Miskin,BLT
2,4867255,Semi Permanen,Sumur,PLN,Tidak Ada,Pedagang Kecil,Kontrak,0,0,0,1,1,0,0,35,Rentan Miskin,BLT
8,8376686,Semi Permanen,PAM,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Kontrak,0,1,1,1,0,1,0,30,Rentan Miskin,BLT
4,3929144,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,1,1,1,50,Miskin,PKH
7,5840660,Semi Permanen,PAM,Listrik Non-PLN,Ada,Petani,Milik Sendiri,0,0,0,1,0,0,0,45,Rentan Miskin,BLT
5,2359213,Tidak Permanen,Sumur,Tidak Ada,Ada,Pegawai Swasta,Kontrak,1,0,0,1,0,1,1,80,Sangat Miskin,Bantuan Sembako
6,2474755,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Pedagang Kecil,Sewa,1,0,0,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
6,1673592,Tidak Permanen,PAM,Tidak Ada,Tidak Ada,Buruh Harian Lepas,Kontrak,1,1,1,1,0,1,1,70,Sangat Miskin,Bantuan Sembako
5,7757574,Tidak Permanen,Sungai,PLN,Ada,Pegawai Swasta,Sewa,0,0,1,0,0,0,1,70,Sangat Miskin,Bantuan Sembako
7,6062862,Semi Permanen,Sungai,Tidak Ada,Ada,Pedagang Kecil,Sewa,0,0,1,0,0,1,0,40,Rentan Miskin,BLT
2,3970319,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Milik Sendiri,1,1,1,0,0,1,0,40,Rentan Miskin,BLT
3,8123424,Semi Permanen,PAM,Tidak Ada,Tidak Ada,Petani,Sewa,0,0,0,0,0,1,0,35,Rentan Miskin,BLT
7,6136223,Semi Permanen,Sumur,PLN,Ada,Petani,Milik Sendiri,0,1,1,0,0,0,0,35,Rentan Miskin,BLT
7,4885220,Tidak Permanen,PAM,Listrik Non-PLN,Tidak Ada,Petani,Milik Sendiri,0,0,0,1,1,0,1,55,Miskin,PKH
6,3394307,Tidak Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Kontrak,1,0,0,1,1,0,1,80,Sangat Miskin,Bantuan Sembako
6,1314549,Permanen,PAM,PLN,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,1,1,0,1,0,0,45,Rentan Miskin,BLT
5,1394770,Semi Permanen,Sungai,Listrik Non-PLN,Ada,Pegawai Swasta,Sewa,1,0,0,0,1,0,0,60,Miskin,PKH
7,5075496,Tidak Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,0,1,1,0,1,0,1,50,Miskin,PKH
5,8007990,Semi Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Petani,Milik Sendiri,0,0,1,0,0,0,0,45,Rentan Miskin,BLT
7,1782572,Semi Permanen,Sungai,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,1,1,0,1,1,0,35,Rentan Miskin,BLT
8,5081543,Permanen,Sumur,Tidak Ada,Tidak Ada,Petani,Kontrak,0,1,1,1,1,1,0,20,Tidak Miskin,Tidak Layak Menerima
1,1591371,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Milik Sendiri,1,1,0,1,1,1,0,30,Rentan Miskin,BLT
2,4660036,Tidak Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,0,0,0,0,0,0,1,65,Miskin,PKH
1,819202,Permanen,PAM,PLN,Ada,Pedagang Kecil,Milik Sendiri,1,0,1,0,0,0,0,60,Miskin,PKH
2,8475763,Tidak Permanen,Sumur,PLN,Ada,Buruh Harian Lepas,Milik Sendiri,0,0,0,0,1,0,1,50,Miskin,PKH
2,3790949,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,1,0,1,0,0,0,55,Miskin,PKH
4,8157296,Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Kontrak,0,0,1,1,0,1,0,35,Rentan Miskin,BLT
4,8988393,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,0,0,0,0,40,Rentan Miskin,BLT
4,7240338,Tidak Permanen,Sungai,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,0,1,0,1,0,1,1,40,Rentan Miskin,BLT
3,2460500,Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Petani,Milik Sendiri,1,0,0,0,1,0,0,50,Miskin,PKH
2,9937901,Tidak Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,0,0,1,0,1,0,1,50,Miskin,PKH
3,8048534,Permanen,PAM,Listrik Non-PLN,Ada,Buruh Harian Lepas,Milik Sendiri,0,0,0,1,0,0,0,40,Rentan Miskin,BLT
6,2965948,Semi Permanen,Sumur,PLN,Tidak Ada,Buruh Harian Lepas,Kontrak,1,1,0,1,0,0,0,60,Miskin,PKH
4,7002757,Permanen,PAM,Listrik Non-PLN,Tidak Ada,Petani,Kontrak,0,1,1,0,0,0,0,35,Rentan Miskin,BLT
7,530832,Semi Permanen,PAM,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Sewa,1,0,1,1,0,0,0,70,Sangat Miskin,Bantuan Sembako
6,847999,Permanen,Sungai,PLN,Tidak Ada,Pegawai Swasta,Kontrak,1,0,1,0,0,0,0,70,Sangat Miskin,Bantuan Sembako
6,1247665,Permanen,Sungai,Listrik Non-PLN,Tidak Ada,Buruh Harian Lepas,Milik Sendiri,1,0,1,1,1,0,0,55,Miskin,PKH
7,9052470,Semi Permanen,PAM,PLN,Tidak Ada,Petani,Kontrak,0,0,1,1,0,0,0,50,Miskin,PKH
6,5206942,Permanen,PAM,Tidak Ada,Ada,Buruh Harian Lepas,Kontrak,0,1,0,0,0,1,0,30,Rentan Miskin,BLT
1,4282928,Semi Permanen,Sumur,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Sewa,1,1,1,1,0,0,0,55,Miskin,PKH
8,4364123,Permanen,PAM,PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,1,0,1,0,0,0,55,Miskin,PKH
1,5022650,Tidak Permanen,Sungai,PLN,Tidak Ada,Pedagang Kecil,Sewa,0,0,0,1,0,0,1,65,Miskin,PKH
6,5096487,Semi Permanen,Sumur,Tidak Ada,Tidak Ada,Pegawai Swasta,Kontrak,0,0,1,0,1,1,0,30,Rentan Miskin,BLT
2,8526701,Tidak Permanen,Sungai,Tidak Ada,Ada,Petani,Milik Sendiri,0,0,1,0,1,1,1,40,Rentan Miskin,BLT
1,5178615,Semi Permanen,PAM,Listrik Non-PLN,Ada,Pedagang Kecil,Kontrak,0,0,1,0,0,0,0,45,Rentan Miskin,BLT
3,1755909,Semi Permanen,PAM,Listrik Non-PLN,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,0,1,0,0,0,60,Miskin,PKH
7,3921194,Permanen,PAM,Tidak Ada,Tidak Ada,Pedagang Kecil,Milik Sendiri,1,0,1,0,0,1,0,55,Miskin,PKH
4,8341152,Semi Permanen,PAM,PLN,Tidak Ada,Buruh Harian Lepas,Sewa,0,1,0,1,1,0,0,25,Tidak Miskin,Tidak Layak Menerima
4,8411674,Semi Permanen,Sumur,Listrik Non-PLN,Ada,Pedagang Kecil,Milik Sendiri,0,1,1,0,0,0,0,30,Rentan Miskin,BLT
7,7048871,Semi Permanen,Sungai,PLN,Tidak Ada,Petani,Sewa,0,1,0,1,1,0,0,30,Rentan Miskin,BLT
4,4189800,Permanen,PAM,Listrik Non-PLN,Tidak Ada,Pegawai Swasta,Sewa,1,0,1,1,0,0,0,65,Miskin,PKH
1,9235968,Permanen,PAM,PLN,Ada,Buruh Harian Lepas,Sewa,0,1,0,0,0,0,0,35,Rentan Miskin,BLT
1,9601887,Permanen,Sungai,Listrik Non-PLN,Ada,Buruh Harian Lepas,Sewa,0,1,1,0,0,0,0,35,Rentan Miskin,BLT
6,2243301,Semi Permanen,Sumur,PLN,Ada,Buruh Harian Lepas,Kontrak,1,1,0,0,0,0,0,60,Miskin,PKH
